screen_name,followers_count,statuses_count,location,geo_enabled
YaserAshour4,16,2,,False
yakshtwla366,0,26,,False
mohd_latifa,6,9,,False
MiladKhaled3,26,0,,False
YoussefGadEG,101,18,Egypt,False
ha_ss_an99,1148,277,,False
raSHeJzbgLo3tSL,9,12,,False
Shay0000Shay,13,10,,False
1x1x3u3,4,0,,False
WaelAbdulHamid1,14,90,,False
NL0610,3,1,,False
ahmed2alhamwi,10,1,,False
2eDtLOWKhIc7fAG,0,0,,False
Sallyooof,5,0,,False
K2fhnoZB9kZTVa0,1,1,"Nieuwmarkt/Lastage, Amsterdam",False
altaioby2,38,6,,True
Sabagh71,16,12,,False
iGzDYOGbvzMHCUY,66,0,,False
buchnaff,62,438,,False
numasd,9820,9623,,True
drmohamedkama10,40,0,,False
hasnaaragab508,31,119,"Cairo, Egypt",False
fgM2Tj4nmdeIM02,25,12,,False
MohamedOmaer1,107,95,,False
sallam713,167,695,alexandria,False
ahmad444378,52,92,"The Capital, Kuwait",False
LulyJamal,43,81,,False
Sham02756756,67,87,,False
mohanadgalal,64,12,"Giza, Egypt",True
boukhal_mehdi,1,0,,False
azizalgabaly,344,16,"13.581337,44.023032",True
hsmbadry,6,33,,False
Ahmadreza1936,259,223,,False
Abdelelah20002,153,34,,False
amrnashaat5,9,1,,False
abeman503,27,0,,False
fayaldhasi,1181,3873,JoudAlhanini.,True
sss1984sss1,92,242,,False
openpop,0,27,,False
AliIbra74941014,20,7,,False
oussamaraddadi,122,23,Tunisie,True
fHazQPktkJQNnFM,19,760,,False
Tarq90992608,27,0,,False
ZK5JxjebpTivZPV,1,5,Iraq,False
alihassan_harun,63,18,,False
gohary3000,1298,27915,CAIRO,True
drmo777,11,0,,False
saber2509,70,27,"Hafr Al Batin, Kingdom of Saud",False
maryem1538,87,1058,hope,True
I_ALSHAMANI,11922,9717,"Riyadh,Saudi Arabia",True
ehabsakrr,49,0,,False
Wali47650570,11,0,,False
MostafaKaki,694,24264,"Jeddah,Saudi Arabia",True
DahressifTarik,7,5,"Casablanca, Grand Casablanca",False
kolko_lona,5,0,,False
abomaka_etman,5,0,,False
5xuii,1052,93,,False
gehadhelo1,159,1,,False
DrHanykassamy,8,6,"Al Salmiyah, Kuwait",True
ElemamAkram,5,9,,False
shoptic555,22,358,,True
Khayam_alshar,722,12,,False
MonaAli46315145,0,2,Cairo,False
ez3QoJ7vfWIdIDX,10,0,,False
REIbDAct3KrIUE8,2,39,,False
