screen_name,followers_count,statuses_count,location,geo_enabled
KethyJannet,11,6,,False
Brijesh24528733,10,0,,False
RhodaAwino,30,8,,False
mwaurajoseph68,108,181,"Naivasha, KenyaBorn in Kenya. ",False
OliverDavieson,313,640,"Nairobi, Kenya",True
YongRong,5,2,,False
newbriz,30,13,,False
AkatamaL,392,732,"Helsinki, Suomi",False
BWMeridianHotel,21,33,"Nairobi, Kenya",False
calvin744,8,1,,False
SimonTwesigye,34,1,,False
VKiveu,14,1,,False
KUMBAFRANK1,1,4,Abuja,False
ElsemiekedeJong,160,300,Amsterdam,False
mwitajosephmar2,3,11,,True
NisreenNader,141,98,,True
Martinmmuthuri1,43,15,"Meru, Kenya. ",True
Minita990099,17,0,,False
codevnet,60,105,Cameroon,False
Karthik61296250,18,1,"Tamil Nadu, India",False
MalalaYasin,18,5,Kakamega,False
sylviakibisu,62,109,,True
josephmuchai,24,15,,False
nyarwekC,234,553,,True
YouBrandInc,33932,198674,Minneapolis,False
KellyPeter3,5,82,Busia,True
BRUCELABAN1,42,20,,True
RonnohDominic,35,6,,False
TukashabaN,5,18,,False
pepeanyango,272,370,,False
polinemwangi,2854,13400,"Nairobi, Kenya.",True
CorazonAmukhale,179,352,Mombasa ,True
henrynjugu,359,360,"Nairobi,Kenya",False
raccemaurice,1429,300,Nakuru,True
hang_patrick,720,595,"Nairobi, Kenya.",True
Galck_ke,3121,7744,Nairobi Kenya,True
leary1968,950,2301,University of Leeds,True
NismaAlozebi,3545,2320,Aden Yemen ,True
mybdhealthtips,302,1648,"Dhaka, Bangladesh",True
floxyjerry,25,0,"Abuja, Nigeria",False
ClaireDuDieu,333,701,,True
AniketRShirsat1,15,8,,False
AishwaryaSingh6,3,0,,False
la_cascina,47,32,"Karen Hub, Nairobi, Kenya",False
cavalierskahara,60,425,,True
EvansOdipo81,148,282,alomodoi,True
ChirchirTembwo,19,8,,False
mastersplaceso1,43,63,,False
SandyAbdel,47,33,,False
lesibamothibe,601,2616,"Daveyton, Benoni",True
shirenapaul1,284,115,,False
planbelgie,1099,1576,Brussel,True
BolingoSituma,9,8,,False
Vinolia79094748,83,4,Ghana,False
KenyaSRHR,1667,1355,Nairobi,False
RasMarto6,9,1,"Nairobi, Kenya",False
FlyingFoxZip,226,584,India & Kenya,True
insan2day,14,86,,False
RHRNKenya,88,183,"Nairobi, Kenya",False
Rhanie13197942,25,1,"Kampala, Uganda",False
EvansNyabola,12,24,kawangware,False
IreneJiggerKeny,452,5420,"England, United Kingdom",False
melutaye,161,509,Nairobi Kenya,False
OssaiAnthonyO2,9,0,,False
KiharaLukers,104,175,"Juja Farm, Kenya",True
IsmailH88412580,15,0,,False
Sweedeart,19,44,Uganda ,True
meazimeazi,65,6,Bahrain,True
Sagwechristoffa,59,10,,False
DenisNzioka,6801,50432,"Nairobi, Kenya",False
Ajnorest,0,3,,False
lp_adikari,34,2,,False
LBBaloiloi,237,766,"Port Moresby, Papua New Guinea",True
Onyango_josh,70,20,Kenya,False
TrendyzzzP,16,30,"Nairobi, Kenya",False
AkidaMakokha2,15,0,,False
bettiehgitz,0,0,,False
OBayashout,3,5,,False
JosephTanui15,48,1,,False
AshokCh29007366,11,2,"Basti, India",False
DouglasMilimu,0,1,,False
nyaga_judy,6,0,,False
RashidMtaha,61,37,murang'a town,False
AmyIftekhar,21,36,,False
LindaCoffie2,10,5,"Tamale, Ghana",False
iNduati,1702,10933,Ngoya Inc,True
kenyatalkforum,29598,9867,Kenya,False
kim_waita,200,160,Kericho ,False
neerajraturi001,6,2,,False
alekie603,174,108,"Nairobi, Kenya",False
paulinelevinaro,14,1,,False
KELVYN_BANKS,769,399,Nigeria,False
KenSubru,196,1986,"Eldoret, Kenya.",True
SonuSha97360744,16,2,Sonu Sharma,True
kister_bless,17,6,"Eldoret, Kenya",False
GeorgeAsiedu20,3,0,,False
MaryAdem2,5,12,,False
pep100frontiere,9,7,Douala Cameroun,False
Essy_Emilly,68,618,,False
Muslimfamily90,1148,5009,Ghana,True
Network4Office,859,24,"Nairobi, Kenya",False
awitishaq1,987,640,nakuru,False
Carolyngitau,58,13,Nairobi,True
KevoOyanago,4,34,,False
1979239okumu,17,0,,False
NkiNafisa,34,44,"Bristol, UK",False
kuiliza,33,24,,False
suekoech,380,179,Kenya,False
judithmwende13,0,1,,False
DansoRi49128831,24,1,,False
katevdkrol,39,7,,False
aheadsalone,39,8,,False
JohnEdw59433829,724,13,,False
JacobMusya4,44,147,"Garissa, Kenya",False
BradleyBritney4,3,0,,False
velmanonny,0,5,,False
michael_weyimi,26,267,,True
Zed_shantall,9468,213554,Kenya,True
papangolotalk,25,746,Nigeria,True
ahaicyouth2017,422,877,"Nairobi, Kenya",True
DilliBabuK10,6,1,,False
shila91872442,6,0,,False
sareenliam,14,1,,False
kithinji_franci,126,18,"Nairobi, Kenya",True
KIMATHIWKOORIO,1,1,,False
wangy38,15,1,,False
The_Himanshu0,17,3,,False
micheal_arinda,5,4,UGANDA,True
RodgerOwuor,4,1,,False
geraldchege11,14,8,"Mombasa, Kenya",False
KennedyLevo,22,16,NAIROBI,True
JacobMatt198613,0,1,,False
missmill0,11,11,Nairobi,False
awacuganda,503,50,"Kampala, Uganda",False
Feyaj1,15,3,Kenya,False
Mlle__Stacy,1118,15831,"Paris, France",True
mwebazamujuzi,0,2,,False
phelix6,25,285,Nairobi,True
kenyamanenos,1165,1401,,False
youth_coalition,5921,11270,,True
Samwel05952001,1,0,,False
James42512623,155,0,,False
YonahOdoi,146,2828,"Kampala, Uganda",True
ItsFrankysertoi,7559,68326," ELDAMA-RAVINE, KENYA",True
MichaelMunyara3,8,7,,False
ChumoAlbert,26,53,"Eldoret, Kenya",False
julietta_bright,275,6,,False
katherinejewel9,627,12148,,False
Mafisinews,777,453,facebook.com/mafisinews,False
OtherFoundation,1019,779,Southern Africa,True
judith_kiragu,40,3,,False
dance4lifeke,150,330,"Nairobi, Kenya",False
Lereveafricain,1133,10680,On the web,False
EvarMburu,864,3675,Isiolo,True
GwiziSoneni,1636,7243,Zim/Byo/Hre/LowerGweru/Africa,False
DGathinwa,1247,6711,"Nairobi, Kenya",True
NjorogeBen,33,35,"Nairobi, Kenya",True
rurakim,3,102,,True
miss_claire_07,267,143,,False
DfGHarareZim,56,74,Zimbabwe,False
PillowAndrew,10,8,Mombasa,False
liggyk,51,98,"London, England",True
PNassazi,0,5,,False
AsiaMustafa3,36,51,,False
dessyBIG,44,17,"Mombasa, Kenya",True
getrudemungai,5244,381,Nairobi,True
akidaokulu,18,0,,False
AsemboVitalis,18,0,,False
musasadat4,24,297,Uganda East Africa working at students as a vice president basoga insadhu memorial technical institute namutumba district,False
welishehj,30,97,,False
alfredkimani7,1,9,,False
DesBarongo,4132,11069,0726660166 Nairobi Kenya,True
navdhadpatel,336,685,Nairobi ,False
brena_brizy,269,264,"Nairobi, Kenya",False
mcwilliams_10,11,18,,False
stmilano,294,1333,Pretoria,True
PicnicEntity,42,167,"Nairobi, Kenya",False
Gtweets_254,312,1238,"Nairobi, Kenya",False
Safe_Abortion,2489,6505,,False
araalijonathanz,0,2,,False
ArnoldGaliwango,5,4,,False
djkezi,60,30,,False
deviehm4,0,6,,False
dwip101,582,1703,,False
denoh961,5,4,,False
EddiCurrents,52,45,"Lagos,nigeria.",False
HIV_COP,116,159,,True
AmuuPita,261,57,kitale,True
AGEFFRARD,387,72,Haiti,False
